text,publication,
"Payless ShoeSource confirmed Friday that it will close its 2,100 stores in the U.S. and Puerto Rico and start liquidation sales Sunday. The company is also shuttering its e-commerce operations. ",USA Today,15-Feb
The closings mark the biggest by a single chain this year and nearly doubles the number of retail stores set to close in 2019.,USA Today,15-Feb
"""We expect all stores to remain open until at least the end of March and the majority will remain open until May,"" the company said in a statement to USA TODAY. ""This process does not affect the company’s franchise operations or its Latin American stores, which remain open for business as usual.”",USA Today,15-Feb
Payless.com is no longer accepting online orders but its store locator was still working Saturday ni.,USA Today,15-Feb
"The Topeka, Kansas-based discount shoe retailer had previously filed for bankruptcy protection in 2017 and closed 673 stores.",USA Today,15-Feb
"In a September news release, Payless said it was ""the largest specialty footwear retailer in the Western Hemisphere"" with more than 3,500 stores in 40 countries worldwide and nearly 18,000 employees.",USA Today,15-Feb
"Days before Payless confirmed stores would be shuttered, Coresight Research on Wednesday released an outlook of 2019 store closures that said there was ""no light at the end of the tunnel.""",USA Today,15-Feb
"Prior to the Payless announcement, 2,187 store closings had been announced in the first six weeks of the year, according to the global market research firm's report. This represented a 23 percent increase over the same time period last year.",USA Today,15-Feb
"Those closings include 749 Gymboree stores, 251 Shopko stores and 94 Charlotte Russe locations. ",USA Today,15-Feb
"For 2018, Coresight Research tracked 5,524 closings, which included all Toys R Us stores, and hundreds of Mattress Firm stores, Kmart and Sears locations, and Brookstone's remaining mall stores.  ",USA Today,15-Feb
"The record year for closings was 2017, with 8,139 shuttered stores, Coresight reported. This included the 2017 Payless closings, the entire HHGregg electronics and appliance chain and hundreds of Sears and Kmart stores.",USA Today,15-Feb
New York (CNN Business)Payless ShoeSource is heading back into bankruptcy. This time it will close its doors.,CNN,19-Feb
"The 63-year old discount shoe retailer filed for Chapter 11 bankruptcy protection on Monday, less than two years after it emerged from its previous bankruptcy.",CNN,19-Feb
"The bankruptcy filing Monday follows the start of going-out-of-business sales Sunday at its 2,500 US and Canadian stores. About 16,000 employees will lose their jobs. Store closings begin in March and should conclude by the end of May.",CNN,19-Feb
"Payless is the most recent retailer to file for what has become known as ""Chapter 22,"" in which a company emerges from Chapter 11 only to file for bankruptcy a second time and shut down its business.",CNN,19-Feb
"RadioShack, American Apparel and Gymboree all suffered that fate.",CNN,19-Feb
"It's one of the reasons Sears may struggle to remain in business long term, despite the company's promises that it will be a profitable and competitive retailer once again as it emerges from bankruptcy.",CNN,19-Feb
"""The plans always make sense on paper. But the reality is if there are a fundamental problems with the way a customer perceives a retailer, bankruptcy doesn't solve that,"" said Philip Emma, a senior analyst with DebtWire and an expert on retail bankruptcies. ""The is very little margin for error for these companies that try to make it.""",CNN,19-Feb
"Payless had too much debt, too many stores, and too much corporate overhead when it emerged from the earlier bankruptcy, according to Stephen Marotta, who was named last month as the company's chief restructuring officer to prepare for the bankruptcy.",CNN,19-Feb
"Payless also ran into a series of problems that derailed its plans. A computer system issue hurt its back-to-school sales last year, and it carried too much inventory for the holiday season, which forced it to cut prices. Payless' North American business lost $63 million 2018.",CNN,19-Feb
"The company says it owes $1.3 million in severance payments to employees that were laid off before the filing, but it is not sure whether it will be able to make those payments. Nor is it clear that it will be able to pay severance to the employees who lose their jobs going forward as the stores shut down. In the US bankruptcy cases, creditors are paid before employees that are owed severance.",CNN,19-Feb
"Payless will keep open 420 stores in 20 other countries, primarily in Latin America, as well as its stores in US Virgin Islands, Guam and Saipan. But it's core North American business will close.",CNN,19-Feb
Low unemployment should help,CNN,19-Feb
"The good news for Payless employees is the US unemployment rate is near a 50-year low, and retailers are having a particularly tough time finding workers. There are more job openings than than candidates.",CNN,19-Feb
"Just 4.3% of job seekers that identify as wholesale and retail workers couldn't find a joblast year, according to the Labor Department. That matches the lowest retail and wholesale unemployment rate on record, which was set in 2000, the year that the government started calculating those industry-specific rates.",CNN,19-Feb
"That low rate comes even as more consumers are shifting from buying goods at brick-and-mortar stores to making purchases online. More than 5,500 US stores closed last year according to Coresight Research, a retail think tank.",CNN,19-Feb
"Although the number of jobs in traditional retail has fallen, the number of people who want to work in the industry has fallen even faster. That tight retail labor market has led some companies to increase incentives.",CNN,19-Feb
"Walmart, (WMT) the largest US business employer with more than 1.5 million US employees, now offers bonuses to employees with a good attendance records. Retailers are also raising their hourly wages to try to attract workers. Target (TGT) will be paying a minimum of $15 an hour by next year.",CNN,19-Feb
"""Retailers are starved for talent at all levels,"" said Greg Portell, lead partner for the retail practice of consultant A.T. Kearney. ""It's a healthy market to be walking into. Front line retail is an extremely hard job. And it's extremely important to retailers to have the right talent. That's why you see wages going up, that's why you see opportunities.""",CNN,19-Feb
"Just a year and a half after exiting bankruptcy with high hopes for a comeback, discount shoe giant Payless ShoeSource is calling it quits. The struggling retailer announced last week that it will close all of its more than 2,000 remaining company-owned stores in the U.S. over the next few months.",Motley Fool,19-Feb
The impending disappearance of Payless ShoeSource from the U.S. retail landscape represents an opportunity for rivals to snap up its customers. The two biggest winners are likely to be DSW (NYSE:DSW) and Caleres(NYSE:CAL).,Motley Fool,19-Feb
"Payless has struggled, but it's still a big name in shoes",Motley Fool,19-Feb
"Two years ago, Payless blamed its initial bankruptcy filing in large part on outdated inventory management systems. The company purchased too much merchandise in early 2015 -- much of which arrived late, due to a West Coast port strike.",Motley Fool,19-Feb
"The resulting inventory glut forced Payless to take huge markdowns, wrecking its margins. Meanwhile, a heavy debt load left it with little room to maneuver. However, the company was able to shed much of its debt during its 2017 restructuring, and planned to update its inventory management systems after emerging from bankruptcy.",Motley Fool,19-Feb
"Unfortunately, Payless' problems ran a little deeper than inventory management problems. For one thing, the footwear market is highly fragmented and extremely competitive. Additionally, mall traffic has been falling for years, weighing on in-store sales. Payless' bankruptcy restructuring bought it some time, but not enough time to address these thorny issues.",Motley Fool,19-Feb
"Still, Payless had around $2.3 billion of revenue in 2016 and kept most of its stores open after its original bankruptcy filing. Thus, there's a substantial revenue opportunity for rivals to fight over.",Motley Fool,19-Feb
DSW is making the right moves,Motley Fool,19-Feb
"Resurgent off-price shoe giant DSW has a chance to take a sizable chunk of Payless' business. DSW itself was struggling with sluggish sales a couple of years ago, but it returned to comp sales growth in 2017 and its growth rate accelerated in 2018.",Motley Fool,19-Feb
"In the third quarter of fiscal 2018, DSW's core U.S. retail segment -- which consists of more than 500 DSW stores -- posted a strong 7.3% comp sales increase and grew total sales 10% year over year. Adjusted earnings soared more than 50% and DSW raised its full-year earnings per share guidance. Analysts expect another year of double-digit revenue and EPS growth in fiscal 2019.",Motley Fool,19-Feb
"DSW's self-service, off-price business model should appeal to bargain-hunting Payless customers. Moreover, DSW is addressing its biggest historical weakness: the lack of a robust kids' offering. The company introduced children's sections into nearly half of its stores several years ago and has been expanding that business aggressively. This will help it target young parents, a key demographic for Payless ShoeSource.",Motley Fool,19-Feb
"DSW is on track to end fiscal 2018 with a little over $3 billion in annual revenue, so it is still small enough that taking a significant chunk of Payless' market share could have a meaningful impact on its revenue and earnings growth.",Motley Fool,19-Feb
The parent of Famous Footwear could also profit,Motley Fool,19-Feb
"Caleres is also well positioned to benefit from Payless' demise. While the company makes shoes under a number of midrange-to-upscale brands, including Naturalizer and Allen Edmonds, it generates the majority of its revenue -- $1.6 billion out of a total of $2.8 billion in fiscal 2017 -- from its Famous Footwear chain.",Motley Fool,19-Feb
"Famous Footwear has more of a focus on name-brand athletic shoes than Payless (or DSW, for that matter), but it still has plenty of overlap with Payless in terms of styles and price points. It has an even broader store footprint than DSW, with roughly 1,000 U.S. locations. It also already has a robust kids' offering: Caleres gets about 9% of its revenue from children's shoes, and that percentage is probably significantly higher for the Famous Footwear chain itself.",Motley Fool,19-Feb
"While Famous Footwear doesn't have quite the same sales momentum as DSW, it was on track to post low-single-digit comp sales growth in fiscal 2018 as of last November. And after closing some underperforming locations last year, it has a more productive store base.",Motley Fool,19-Feb
"DSW and Caleres' Famous Footwear chain will be just two of many chains looking to gain market share as the last Payless ShoeSource stores close a few months from now. But their common focus on selling discounted shoes in a self-serve ""open-sell"" format should make DSW and Famous Footwear go-to shoe stores for many former Payless customers.",Motley Fool,19-Feb
10 stocks we like better than Caleres,Motley Fool,19-Feb
"When investing geniuses David and Tom Gardner have a stock tip, it can pay to listen. After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor, has quadrupled the market.*",Motley Fool,19-Feb
David and Tom just revealed what they believe are the ten best stocks for investors to buy right now… and Caleres wasn't one of them! That's right -- they think these 10 stocks are even better buys.,Motley Fool,19-Feb
"Payless ShoeSource filed for bankruptcy protection on Monday, a day after it began winding down its 2,500 U.S. stores.",CNBC,19-Feb
"The retailer, founded in 1956 in Topeka, Kansas, expects all stores to remain open until at least the end of March and the majority until May. That will keep many of its stores open through the Easter holiday, when it generates much of its sales.",CNBC,19-Feb
"Payless said in court documents that many of its stores did not generate enough cash to support the costs of sourcing, design and merchandising.",CNBC,19-Feb
"The liquidation will not impact its franchised or Latin American stores, where it is the region's largest specialty footwear retailer. Payless said in court documents that is looking to reorganize its Latin American and franchise businesses, which include looking for capital to support those businesses.",CNBC,19-Feb
"The filing marks its second trip to bankruptcy court. It first filed for bankruptcy protection in April 2017, eliminating nearly 700 stores and roughly $435 million in debt.",CNBC,19-Feb
"But the shoe retailer continued to face challenges, with competition ranging from Amazon to T.J. Maxx parent TJX Cos. to shoe retailer DSW. Payless had a loss of $63 million in 2018 and a loss of $4 million in 2017.",CNBC,19-Feb
The fallout from the retail apocalypse is far from over.,Business Insider,25-Feb
"Two months into 2019, four retailers have already filed for bankruptcy protection: Payless ShoeSource, Charlotte Russe, Gymboree, and FullBeauty Brands.",Business Insider,25-Feb
Ratings agencies are expecting more defaults in the coming months.,Business Insider,25-Feb
"""As the US retail industry emerges from one of its worst multi-year default cycles yet, companies are getting ready for a second, though less virulent round among smaller, weaker names,"" analysts for Moody's Investors Service wrote in a report on Thursday.",Business Insider,25-Feb
The report identified 17 retailers with the highest risk of defaulting or filing for bankruptcy protection:,Business Insider,25-Feb
"In 2017, PetSmart — the largest US pet retailer, with more than 1,600 pet stores in the US, Canada, and Puerto Rico — purchased Chewy.com for $3.4 billion in what was the largest e-commerce acquisition at the time. Since then, the company has been struggling to pay down roughly $8 billion in debt amid growing competition online from Walmart, Amazon, Target, and others.",Business Insider,25-Feb
"The luxury department-store chain Neiman Marcus has reported five consecutive quarters of positive sales growth after years of losses, but it's still grappling with nearly $5 billion in debt.",Business Insider,25-Feb
"The sporting-goods retailer Academy Sports & Outdoors, which has more than 240 locations, is struggling to compete with larger rivals like Amazon, Walmart, and Dick's Sporting Goods.",Business Insider,25-Feb
"""Academy faces a challenging turnaround amid the highly competitive sporting goods environment,"" the Moody's analyst Raya Sokolyanska wrote in a note in January. ""In the near term, the company's good liquidity, with ample revolver availability and lack of debt maturities until 2022, provides key support to an otherwise weakening credit profile.""",Business Insider,25-Feb
"J.Crew is saddled with $1.7 billion in debt and struggling to reverse years of sales declines by rebranding its stores. The company is also searching for a CEO to replace Jim Brett, who in November resigned after 17 months in the position.",Business Insider,25-Feb
Guitar Center is remodeling its stores in an effort to revive sales after refinancing hundreds of millions of dollars in debt last year.,Business Insider,25-Feb
"The company's CEO, Ron Japinga, told Rolling Stone in November that the company had been ""going sideways"" for several years.",Business Insider,25-Feb
"""It didn't have a vision in what it — we — wanted to do,"" Japinga said, adding that the company had since refocused its mission to help people make music and had ""really started to turn the corner.""",Business Insider,25-Feb
"The Fresh Market, which operates 161 stores across 22 US states, has been under pressure from a competitive pricing environment and an increasing number of organic offerings from traditional grocers, such as Kroger and Walmart.",Business Insider,25-Feb
"Evergreen AcqCo 1 LP operates the thrift-store chains Value Village and Savers, which purchases donated clothing, accessories, and household goods and resells them at more than 300 locations in the US, Canada, and Australia. The company says it prevents more than 700 million pounds of used goods from going to landfills annually and employs 22,000 people.",Business Insider,25-Feb
"Moran Foods operates the discount grocery chain Save-A-Lot, which has more than 1,300 stores in 36 states, according to the company's website. It was acquired by Onex Corporation, a Canadian private-equity firm, in 2016.",Business Insider,25-Feb
"The discount chain, with a primary price point of about $1, operates 389 locations in California, Texas, Arizona, and Nevada.",Business Insider,25-Feb
"Bluestem Brands owns 13 e-commerce sites, including Appleseed's, Bedford Fair, Fingerhut, Draper's & Damon's, Blair, and Gettington.",Business Insider,25-Feb
"Fairway Group operates the supermarket chain Fairway Markets, which has 15 stores and four wine shops in New York, Connecticut, and New Jersey.",Business Insider,25-Feb
"The company is facing fierce competition from Whole Foods, Trader Joe's, and others, according to analysts.",Business Insider,25-Feb
"""Without the capital to effectively conduct promotional and marketing activities in a highly competitive market, Fairway's top-line growth will prove elusive, and cash flows, liquidity and profitability will remain strained,"" the Moody's analyst Mickey Chadha wrote in a note in November.",Business Insider,25-Feb
"The company's CEO, Abel Porter, told Bloomberg in November that Fairway had the cash to compete.",Business Insider,25-Feb
"""We've moved dramatically quickly to be able to compete,"" Porter said. ""We're not burning cash; we're accumulating cash.""",Business Insider,25-Feb
David's Bridal emerged from bankruptcy in January after shrinking its debt load by about $450 million in the restructuring process.,Business Insider,25-Feb
The company has seen falling sales as brides increasingly opt for casual wedding dresses over traditional gowns.,Business Insider,25-Feb
The footwear seller Toms Shoes has been struggling to pay down debt five years after scoring a $313 million investment from the private-equity firm Bain Capital.,Business Insider,25-Feb
The company designs and manufactures nonslip footwear under the brand Shoes For Crews.,Business Insider,25-Feb
"Indra Holdings is the parent company of the Totes and Isotoner brands, which sell umbrellas, footwear, gloves, and other cold-weather accessories. Like many other specialty apparel and accessory retailers, it's facing growing competition from Amazon, Walmart, Target, and others.",Business Insider,25-Feb
"Pier 1 is trying to execute a turnaround with a new CEO, but analysts are skeptical that the home-goods retailer can make a comeback.",Business Insider,25-Feb
"Moody's in December downgraded its outlook on the company to negative, saying Pier 1's recovery would be ""dampened by execution issues"" and profit pressure from growing competition and tariffs on Chinese home-furnishings imports.",Business Insider,25-Feb
"""We expect overall liquidity to be adequate in the next 12-18 months, supported by the large revolver and lack of near-term maturities, however liquidity will weaken over time if earnings do not recover,"" Sokolyanska wrote.",Business Insider,25-Feb
"BevMo, originally Beverages & More, sells beer, wine, and liquor online and in stores in California, Washington, and Arizona.",Business Insider,25-Feb
"TORONTO — Payless ShoeSource Canada Inc. says it will soon file for creditor protection in Canada and close all 2,500 of its North American stores this spring.",Saskatoon Star Phoenix,19-Feb
"Payless ShoeSource to close remaining 2,100 stores in U.S.",Saskatoon Star Phoenix,19-Feb
The Kansas-based company’s chief restructuring officer Stephen Marotta says in a release that the closures are happening because a prior reorganization left the company “ill-equipped” for today’s retail environment with too much remaining debt and too large a store footprint.,Saskatoon Star Phoenix,19-Feb
Documents filed with the Ontario Superior Court show the company had an oversupply of inventory as recently as this winter and was forced to sell merchandise at steep markdowns.,Saskatoon Star Phoenix,19-Feb
"The company, which has also filed for bankruptcy in the U.S., says it will begin closing stores at the end of March, though some will be open until the end of May while it conducts liquidation sales.",Saskatoon Star Phoenix,19-Feb
"Documents show the brand employs about 2,400 workers in Canada and owns 248 stores in the country.",Saskatoon Star Phoenix,19-Feb
The documents say the company has failed to pay February’s rent for 220 of its stores in Canada and reported an operating loss of more than US$12 million last year.,Saskatoon Star Phoenix,19-Feb
"One by one, businesses have been announcing plans to open new stores in shuttered big box locations across the Quad-Cities. But in areas still cluttered with vacant stores, community leaders are getting creative.",QuadCity Times,24-Feb
"Over the past couple of years, major national companies have struggled to keep up with the changing retail landscape. As more sales move online, more big box stores have closed doors. ",QuadCity Times,24-Feb
"Younkers, Sears, Toys R Us, and most recently Payless Shoesource, have fallen victim to this trend — leaving vacancies on both sides of the Mississippi River. Moline also has lost its Best Buy and Sam's Club stores. ",QuadCity Times,24-Feb
"""Many of the closures are a product of a changing retail environment,"" said Laura Crossman, corporate marketing manager for Macerich, which owns both NorthPark and SouthPark malls. ""But each closure brings new opportunity."" ",QuadCity Times,24-Feb
"In some cases, big box stores are being refilled with new national retail chains. In recent months, Big Lots announced plans to open on 16th Street in Moline, in the former Toys R Us location. Also in Moline, a new Marshalls department store will open in space which formerly housed Staples. ",QuadCity Times,24-Feb
"In Davenport, the large lot that still houses the former Toys R Us building is being divided up by businesses. University of Iowa Community Credit Union is constructing a new facility on the lot, but plans have not yet been announced for the Toys R Us store. ",QuadCity Times,24-Feb
"""While individual properties have unique challenges, several structures that have seen their retail tenants leave in recent years have since been filled or redeveloped,"" said Bruce Berger, Davenport's community planning and economic development director.",QuadCity Times,24-Feb
"Berger pointed to the redevelopment of two Kmart stores, on West Kimberly Road and Brady Street, and the former K's Merchandise. A new 6,200-square foot retail center housing Stanton Optical recently replaced a BP gas station on Kimberly Road and Brady Street. ",QuadCity Times,24-Feb
"But several vacant stores still clutter Davenport and Moline. On the Illinois side, realtors are seeking to lease the closed Best Buy space, for example.",QuadCity Times,24-Feb
"""Admittedly, properties where Office Depot, Gander Mountain and Dick’s Sporting Goods formerly operated are not yet filled, but new retail — including Home Goods, H&M, Dry Goods, and Costco — have occurred, as well as new restaurant, office, housing, and hospitality investments across (Davenport),"" Berger said. ",QuadCity Times,24-Feb
Crossman said mall managers are searching to refill the spaces left behind by Younkers and Sears. ,QuadCity Times,24-Feb
"""Macerich is leading the discussions with new and emerging brands, including those that are experiential retail,"" she said. ""This is a long-term process and we ask our neighbors to be patient as we fill the space with the what is right for the community.""",QuadCity Times,24-Feb
Berger said the city of Davenport is working with Macerich to create a master plan for the revitalization of the Brady Street corridor. City staff has met with Macerich representatives to discuss creative reuses for the mall and surrounding property. ,QuadCity Times,24-Feb
"""Macerich approached us and is interested in brainstorming on future vision of both their property and the surrounding area,"" Berger said. ""Combined with the closure of the Hotel Davenport, the mid/north-Brady area is well-positioned for redevelopment. It is too early to speculate on any specific geography, partnerships, or what elements will be evaluated, but there is certainly growing interest in revitalizing that corridor.""",QuadCity Times,24-Feb
"According to budget documents, city staff will begin work on a corridor redevelopment study this year.",QuadCity Times,24-Feb
"Crossman said the mall managers are coordinating with the city to ensure the success of NorthPark. And both malls have been looking for less traditional tenants that offer experiences, rather than products. ",QuadCity Times,24-Feb
"""We are focused on supporting start-up companies to help them test their products through flexible leases,"" she said. ""Our sister-centers have discovered success with medical offices, interactive artwork studios and new apparel and accessory brands. We hope the same for this market.""",QuadCity Times,24-Feb
Economic development leaders hope infrastructure improvements — such as the opening of the reconstructed John Deere Road in Moline — also will continue to boost the retail market.,QuadCity Times,24-Feb
"""Certainly the opening of Veterans Memorial Parkway, W. 76th Street and the upcoming 53rd Street widening are all great examples of infrastructure enhancements that will help foster economic development,"" Berger said. ""In addition, the final phases of road and rail improvements in and around the Eastern Iowa Industrial Center in 2019 will be key projects.""",QuadCity Times,24-Feb
"Payless ShoeSource filed for bankruptcy for the second time on February 15, with the clear intention of closing all 2,100 locations in the United States and Puerto Rico. The company also closed its e-commerce site. The going-out-of-business-sale began on Sunday, and all stores will be shuttered by the end of May. About 1,400 franchised and licensed stores globally will remain open and are not affected by this action.",Forbes,18-Feb
"This is the second bankruptcy for the company. In 2017, the first round of stores were closed – 673 units were shuttered at the time. But the company continued to encounter too many aggressive competitors, including Zappos (a division of Amazon), Kohl’s, Walmart, Target and others who provided more compelling merchandise offerings. A visit to a Payless store became irrelevant.",Forbes,18-Feb
,Forbes,18-Feb
"Of course, the high debt of the company, caused by an irrational expansion plan that moved too quickly, ultimately killed the company. And, poor merchandise assortment and lack of exciting offers weren’t competitive and couldn’t drive sales to offset the debt burden. Many wags call this second bankruptcy “chapter 22” (2 x 11), which is a death knell to many companies. Just the other day, Gymboree called it quits when it closed its 749 stores. Also, this year, Shopko closed more than 250 stores and Charlotte Russe closed its 94 stores. High debt was the cause of so many of these closings. According to U.S.A. Today, 2,187 stores have already been closed in the first six weeks of this year. Will there be more closings?",Forbes,18-Feb
,Forbes,18-Feb
"A weak Christmas selling period killed whatever hope had remained for some of these debt-ridden companies to get any relief. Many had hoped Christmas sales would boost income and help delay, or avoid, liquidation.",Forbes,18-Feb
,Forbes,18-Feb
"Payless ShoeSource was an American discount footwear retailer that was headquartered in Topeka, Kansas. Established in 1956 as Volume Shoe Corp., it grew quickly and became part of The May Department Stores in 1979. It then became an independent, publicly held company again in 1996. By 2011, sales volume was $3.4 Billion. A high point in its history. An estimated 18,000 people worked for the company in 2018. Their job loss is the saddest part of this story.",Forbes,18-Feb
Mounting debts and a challenging retail market are forcing Payless ShoeSource Canada Inc. to shutter all of its North American stores by May.,Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"The Kansas-based discount footwear retailer said Tuesday that it will soon file for creditor protection in Canada, making way for liquidation sales at the 248 locations it owns in the country. Those stores include two in Prince George - at Pine Centre Mall and at Westgate Shopping Centre.",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"The move comes just after Payless filed for bankruptcy in the U.S. and after Ohio-based shoe brand DSW Inc. shut down its Town Shoes Ltd. brand and the 38 stores it had in the country, saying the ""competitive landscape for mid-luxury, mall-based footwear has dramatically changed, comparable sales have deteriorated consistently and generated significant operating losses.""",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"Payless, which was founded in 1956 and previously filed for bankruptcy in 2017, has faced a similar market, revealed its chief restructuring officer Stephen Marotta in a press release, where he said the brand had tried to rejig its operations to no avail.",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"""The challenges facing retailers today are well documented, and unfortunately Payless emerged from its prior reorganization ill-equipped to survive in today's retail environment,"" said Marotta.",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"""The prior proceedings left the company with too much remaining debt, too large a store footprint and a yet-to-be realized systems and corporate overhead structure consolidation.""",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"Documents filed with the Ontario Superior Court on Tuesday show the company's Canadian operations, which employ about 2,400 workers, had an oversupply of inventory as recently as this winter and was forced to sell merchandise at steep markdowns.",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
The documents said the company failed to pay February's rent for 220 stores it owns in Canada and reported an operating loss of more than US$12 million last year.,Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"Marotta said in the filings the company has been unable to integrate its physical stores with a digital offering. Only 200 stores are equipped with such a service, he said, leaving Payless ""unable to keep up with the shift in customer demand."" As a result, he said Payless will begin closing its 2,500 North American stores at the end of March, though some will be open until the end of May while the company conducts liquidation sales.",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
Retail expert Brynn Winegard said Payless has long had issues because its business model was built around not always keeping inventory in every size for every shoe they sold but also because of the size of its real estate.,Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"""Payless has had to decrease its footprint significantly, but they were over indexed in terms of how large and how much real estate they intended to maintain,"" she said.",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"""Competitive pricing online is so much easier with lower overhead. The big discount and big box stores have margins that are razor thin finding it very hard to compete with online retailers.""",Prince George Citizen,21-Feb
,Prince George Citizen,21-Feb
"Payless, she said, also faced challenges from manufacturers increasingly circumventing traditional retailers by selling directly to consumers, often at lower costs.",Prince George Citizen,21-Feb
"Feb. 20--HARLINGEN -- Just two years after filing its first bankruptcy, Payless ShoeSource officials concede their turnaround strategy has failed and they will close their remaining 2,500 stores in North America.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
"Late Monday night, the discount shoe seller filed its second bankruptcy in two years.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
"Payless has shut down several of its Valley outlets since it first filed in 2017, including stores at Valle Vista mall, 1102 S. Expressway 83 and one at San Benito Plaza.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
"Its last Harlingen store, at 1210 S. 77 Sunshine Strip in the Laurel Heights Shopping Center, will close, along with four stores in Brownsville, one at the Rio Grande Premium Outlets in Mercedes and a single store in Weslaco.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
Liquidation sales at these stores already have begun and company officials say would continue for a month or two until inventory is gone.,Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
"The liquidation doesn't affect its franchise operations or its Latin American stores, which remain open for business as usual, according to company officials.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
"The company first filed for Chapter 11 bankruptcy in April 2017 and closed around 400 stores. Executives at Payless, based in Topeka, Kansas, cut and consolidated to reduce the company's debt but it apparently failed to turn around the company which employs around 18,000 people.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
"The company, founded in 1956 on the premise of delivering discount shoes in a self-serve setting, was taken private in 2012 by Golden Gate Capital and Blum Capital Partners and succumbed to the serious debt problems incurred by that move.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
The Wall Street Journal recently reported the Payless store closings could be the largest retail liquidation ever in terms of store count.,Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
""" The challenges facing retailers today are well documented, and unfortunately, Payless emerged from its prior reorganization ill-equipped to survive in today's retail environment,"" said Stephen Marotta, PaylessShoeSource's chief restructuring officer, to the Associated Press.",Valley Morning Star,20-Feb
,Valley Morning Star,20-Feb
He also noted to the AP that the previous Chapter 11 proceedings left the company with too much debt and with too many stores.,Valley Morning Star,20-Feb
Payless ShoeSource has filed for Chapter 11 bankruptcy protection and is shuttering its remaining stores in North America.,San Diego Union Tribune,20-Feb
,San Diego Union Tribune,20-Feb
The filing on Monday came a day after the shoe chain began holding going-out-of-business sales at its North American stores.,San Diego Union Tribune,20-Feb
,San Diego Union Tribune,20-Feb
